NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BBS9	6819	0.046287473291158676	-0.53018594	No	
row_1	TTC8	7162	-0.12933753430843353	-0.5549051	No	
row_2	MKKS	7454	-0.2811903953552246	-0.57341605	No	
row_3	CCT8	7973	-0.5682898759841919	-0.60536844	No	
row_4	BBS10	9299	-1.492699146270752	-0.6865242	No	
row_5	BBS12	9866	-2.0114824771881104	-0.7009458	Yes	
row_6	BBS4	10181	-2.3663997650146484	-0.69051856	Yes	
row_7	ARL6	10256	-2.446758508682251	-0.6602228	Yes	
row_8	TCP1	10390	-2.6126210689544678	-0.6320761	Yes	
row_9	CCT2	10431	-2.6591720581054688	-0.5960032	Yes	
row_10	BBS7	10457	-2.696074962615967	-0.55821866	Yes	
row_11	CCT3	11132	-3.755683422088623	-0.5553447	Yes	
row_12	CCT4	11301	-4.119783878326416	-0.5077124	Yes	
row_13	BBIP1	11556	-4.718308448791504	-0.45795518	Yes	
row_14	BBS5	11727	-5.186927795410156	-0.3947526	Yes	
row_15	LZTFL1	11812	-5.4207892417907715	-0.32140848	Yes	
row_16	BBS2	12098	-6.431556224822998	-0.24881731	Yes	
row_17	RAB3IP	12143	-6.633121967315674	-0.15449359	Yes	
row_18	SMO	12153	-6.675609111785889	-0.056818943	Yes	
row_19	BBS1	12310	-7.606495380401611	0.043129586	Yes	
