NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCLT1	1440	5.76900577545166	-0.09826698	No	
row_1	SDCCAG8	1832	4.849274158477783	-0.116548456	No	
row_2	NPHP3	1938	4.650034427642822	-0.11289081	No	
row_3	RP1	2417	3.8012332916259766	-0.1406831	No	
row_4	CCDC40	2531	3.634168863296509	-0.14025299	No	
row_5	CENPF	2806	3.291696310043335	-0.15333663	No	
row_6	MCIDAS	2983	3.052654981613159	-0.15933965	No	
row_7	CEP290	3200	2.7957401275634766	-0.16913985	No	
row_8	NEK9	3204	2.788792610168457	-0.16223884	No	
row_9	GPR161	3307	2.6743645668029785	-0.16340142	No	
row_10	INVS	3519	2.4555046558380127	-0.17367981	No	
row_11	DRC1	3588	2.37581205368042	-0.17293765	No	
row_12	PLK4	3623	2.3375003337860107	-0.16962476	No	
row_13	UNC119	3753	2.195758819580078	-0.17413142	No	
row_14	RSPH1	3954	1.997152328491211	-0.18471931	No	
row_15	IFT81	4062	1.8834134340286255	-0.1882984	No	
row_16	ADCY6	4123	1.8253391981124878	-0.18833695	No	
row_17	TRAF3IP1	4302	1.6852270364761353	-0.19799621	No	
row_18	ANKS3	4379	1.61965012550354	-0.199817	No	
row_19	DNAH6	4508	1.5149598121643066	-0.20598732	No	
row_20	PIBF1	4731	1.35163414478302	-0.21995392	No	
row_21	RP2	4937	1.200339674949646	-0.23297332	No	
row_22	DNAI1	5382	0.9139785170555115	-0.26548532	No	
row_23	USP9X	5583	0.7876065373420715	-0.27916843	No	
row_24	CFAP53	5672	0.7380334734916687	-0.28418717	No	
row_25	NEK2	5804	0.6447843909263611	-0.29281977	No	
row_26	CCNO	5819	0.6336827278137207	-0.29229707	No	
row_27	RSPH3	6017	0.51093590259552	-0.3064527	No	
row_28	INTU	6136	0.43338558077812195	-0.31460583	No	
row_29	IFT80	6143	0.42830145359039307	-0.31398076	No	
row_30	ARL3	6147	0.42718198895454407	-0.31312308	No	
row_31	TBC1D32	6205	0.389273464679718	-0.31660104	No	
row_32	FAM161A	6227	0.3782934546470642	-0.31728134	No	
row_33	XPNPEP3	6229	0.3776504099369049	-0.31639344	No	
row_34	KIAA0753	6236	0.3726699650287628	-0.31591073	No	
row_35	HYLS1	6315	0.3221827745437622	-0.32120872	No	
row_36	TTLL5	6346	0.302131325006485	-0.32279035	No	
row_37	IQCB1	6399	0.27317240834236145	-0.32617295	No	
row_38	C2CD3	6411	0.2629411816596985	-0.3263635	No	
row_39	NEK8	6480	0.2254396378993988	-0.33112413	No	
row_40	EFHC1	6773	0.07203160226345062	-0.35385972	No	
row_41	BBS9	6819	0.046287473291158676	-0.35727346	No	
row_42	WDPCP	6865	0.021810242906212807	-0.36074984	No	
row_43	TOPORS	6932	-0.010105526074767113	-0.3659045	No	
row_44	NME9	6994	-0.0423162505030632	-0.37058428	No	
row_45	DYX1C1	7081	-0.09041102975606918	-0.3771033	No	
row_46	TTC8	7162	-0.12933753430843353	-0.38305178	No	
row_47	POC1A	7235	-0.16518165171146393	-0.38828057	No	
row_48	LRRC6	7537	-0.3236187994480133	-0.4110788	No	
row_49	ATXN10	7861	-0.5119536519050598	-0.43512192	No	
row_50	EVC2	8030	-0.607421875	-0.44675437	No	
row_51	NME7	8310	-0.804969847202301	-0.46659398	No	
row_52	OFD1	8507	-0.8982316255569458	-0.47968003	No	
row_53	CEP104	8632	-0.9827592968940735	-0.48689827	No	
row_54	TMEM138	8705	-1.0354599952697754	-0.48990002	No	
row_55	KIZ	8728	-1.056939721107483	-0.48892218	No	
row_56	IFT140	8924	-1.1963433027267456	-0.5011669	No	
row_57	TMEM17	8949	-1.21939218044281	-0.49993026	No	
row_58	PDE6D	9220	-1.429315209388733	-0.5174658	No	
row_59	BBS10	9299	-1.492699146270752	-0.5197684	No	
row_60	HYDIN	9648	-1.8017531633377075	-0.54247326	Yes	
row_61	C8orf37	9699	-1.8569655418395996	-0.54164594	Yes	
row_62	CEP19	9759	-1.9061944484710693	-0.5413991	Yes	
row_63	MKS1	9772	-1.9172273874282837	-0.5374348	Yes	
row_64	FLCN	9799	-1.9518378973007202	-0.5344809	Yes	
row_65	AK7	9825	-1.9776978492736816	-0.5313823	Yes	
row_66	BBS12	9866	-2.0114824771881104	-0.52937466	Yes	
row_67	SPAG1	10066	-2.2331714630126953	-0.5392801	Yes	
row_68	IFT27	10168	-2.3539791107177734	-0.54118407	Yes	
row_69	BBS4	10181	-2.3663997650146484	-0.53607035	Yes	
row_70	ARL6	10256	-2.446758508682251	-0.5356176	Yes	
row_71	OCRL	10295	-2.486647844314575	-0.53223705	Yes	
row_72	NPHP1	10316	-2.519362449645996	-0.52735984	Yes	
row_73	ALMS1	10333	-2.5433804988861084	-0.52210724	Yes	
row_74	CC2D2A	10414	-2.6360111236572266	-0.52164114	Yes	
row_75	DNAI2	10415	-2.6389875411987305	-0.514888	Yes	
row_76	BBS7	10457	-2.696074962615967	-0.511207	Yes	
row_77	CEP78	10561	-2.836277961730957	-0.5120337	Yes	
row_78	PKD1	10636	-2.9317071437835693	-0.51034	Yes	
row_79	MAK	10710	-3.030184268951416	-0.50831574	Yes	
row_80	SUFU	10712	-3.0318386554718018	-0.5006358	Yes	
row_81	TMEM107	10749	-3.0799124240875244	-0.49558005	Yes	
row_82	TMEM67	10866	-3.2693748474121094	-0.49631894	Yes	
row_83	DYNC2LI1	10910	-3.362607002258301	-0.49108922	Yes	
row_84	DYNC2H1	10940	-3.4167444705963135	-0.4846221	Yes	
row_85	EVC	11016	-3.5304152965545654	-0.48147476	Yes	
row_86	DNAL1	11041	-3.568830966949463	-0.47422597	Yes	
row_87	ARL13B	11184	-3.864067554473877	-0.47548386	Yes	
row_88	IFT172	11194	-3.8786983489990234	-0.46626472	Yes	
row_89	DNAAF3	11208	-3.9072539806365967	-0.4572865	Yes	
row_90	RSPH9	11236	-3.962338924407959	-0.4492662	Yes	
row_91	CEP164	11244	-3.981381893157959	-0.43962732	Yes	
row_92	IFT52	11272	-4.051773548126221	-0.4313782	Yes	
row_93	WDR35	11302	-4.12514066696167	-0.42309827	Yes	
row_94	RAB28	11351	-4.245419025421143	-0.41600192	Yes	
row_95	TRIM32	11392	-4.318472862243652	-0.40809068	Yes	
row_96	INPP5E	11433	-4.39340353012085	-0.39998773	Yes	
row_97	BBIP1	11556	-4.718308448791504	-0.39748973	Yes	
row_98	B9D2	11560	-4.730041980743408	-0.38562107	Yes	
row_99	IFT57	11607	-4.831694602966309	-0.37686747	Yes	
row_100	TTBK2	11722	-5.173011302947998	-0.37257797	Yes	
row_101	BBS5	11727	-5.186927795410156	-0.35961863	Yes	
row_102	DNAJB13	11736	-5.2027201652526855	-0.34693283	Yes	
row_103	LZTFL1	11812	-5.4207892417907715	-0.33894804	Yes	
row_104	PIK3R4	11888	-5.70341157913208	-0.33024	Yes	
row_105	DNAAF2	11895	-5.723057746887207	-0.31606573	Yes	
row_106	ARL2BP	11999	-6.070087909698486	-0.30861717	Yes	
row_107	CCDC103	12005	-6.088113307952881	-0.2934302	Yes	
row_108	CLUAP1	12084	-6.3773932456970215	-0.28323293	Yes	
row_109	BBS2	12098	-6.431556224822998	-0.26779503	Yes	
row_110	SMO	12153	-6.675609111785889	-0.25495082	Yes	
row_111	RAB23	12169	-6.772002220153809	-0.2387987	Yes	
row_112	TMEM231	12198	-6.922417640686035	-0.22328208	Yes	
row_113	ZMYND10	12207	-6.965527534484863	-0.20608528	Yes	
row_114	BBS1	12310	-7.606495380401611	-0.1946266	Yes	
row_115	CEP41	12351	-7.83043098449707	-0.1777283	Yes	
row_116	TMEM216	12384	-8.072649955749512	-0.15958221	Yes	
row_117	TMEM237	12400	-8.187973976135254	-0.13980663	Yes	
row_118	CFAP52	12500	-9.005106925964355	-0.12453342	Yes	
row_119	GLI3	12535	-9.330028533935547	-0.1033267	Yes	
row_120	TUB	12553	-9.517766952514648	-0.080305174	Yes	
row_121	DCDC2	12564	-9.616730690002441	-0.056480955	Yes	
row_122	TCTN1	12571	-9.724445343017578	-0.03206712	Yes	
row_123	TCTN2	12644	-10.68799877166748	-0.010368094	Yes	
row_124	TCTN3	12647	-10.769031524658203	0.0170328	Yes	
