NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCLT1	1440	5.76900577545166	-0.088775225	No	
row_1	CEP295	1991	4.552265644073486	-0.11299435	No	
row_2	KIF3A	3355	2.6212871074676514	-0.20873342	No	
row_3	TTC23	3739	2.2086212635040283	-0.22956422	No	
row_4	IFT81	4062	1.8834134340286255	-0.24696779	No	
row_5	TRAF3IP1	4302	1.6852270364761353	-0.25870037	No	
row_6	PIBF1	4731	1.35163414478302	-0.28658375	No	
row_7	DYNLT1	4782	1.31988525390625	-0.2850484	No	
row_8	CEP162	4898	1.2299315929412842	-0.28896534	No	
row_9	SASS6	5361	0.9319800138473511	-0.32123756	No	
row_10	IFT80	6143	0.42830145359039307	-0.38052475	No	
row_11	ARL3	6147	0.42718198895454407	-0.3789973	No	
row_12	KIAA0753	6236	0.3726699650287628	-0.38433948	No	
row_13	IFT20	6241	0.3707740008831024	-0.38312286	No	
row_14	C2CD3	6411	0.2629411816596985	-0.3952497	No	
row_15	BBS9	6819	0.046287473291158676	-0.42687553	No	
row_16	WDPCP	6865	0.021810242906212807	-0.4303034	No	
row_17	TTC8	7162	-0.12933753430843353	-0.45290938	No	
row_18	IFT74	7553	-0.33447444438934326	-0.4820176	No	
row_19	EVC2	8030	-0.607421875	-0.516723	No	
row_20	EFCAB7	8419	-0.8473657369613647	-0.5435593	No	
row_21	OFD1	8507	-0.8982316255569458	-0.5466556	No	
row_22	CEP104	8632	-0.9827592968940735	-0.55229557	No	
row_23	IFT140	8924	-1.1963433027267456	-0.57010967	No	
row_24	TMEM17	8949	-1.21939218044281	-0.5669563	No	
row_25	ARMC9	9012	-1.2600438594818115	-0.5666058	No	
row_26	CEP76	9055	-1.3028874397277832	-0.5645152	No	
row_27	BBS10	9299	-1.492699146270752	-0.57735455	No	
row_28	TRAPPC11	9544	-1.7081851959228516	-0.5893833	Yes	
row_29	HSPB11	9583	-1.7435259819030762	-0.5851625	Yes	
row_30	CDK20	9674	-1.8288484811782837	-0.5846548	Yes	
row_31	CEP19	9759	-1.9061944484710693	-0.583359	Yes	
row_32	MKS1	9772	-1.9172273874282837	-0.5763892	Yes	
row_33	BBS12	9866	-2.0114824771881104	-0.5753627	Yes	
row_34	TUBE1	10090	-2.2612087726593018	-0.5834688	Yes	
row_35	CEP44	10126	-2.3106653690338135	-0.57667416	Yes	
row_36	IFT27	10168	-2.3539791107177734	-0.57017	Yes	
row_37	BBS4	10181	-2.3663997650146484	-0.5613475	Yes	
row_38	ARL6	10256	-2.446758508682251	-0.55704033	Yes	
row_39	TUBD1	10268	-2.4581098556518555	-0.5477614	Yes	
row_40	CC2D2A	10414	-2.6360111236572266	-0.548224	Yes	
row_41	CBY1	10428	-2.6566169261932373	-0.53828263	Yes	
row_42	BBS7	10457	-2.696074962615967	-0.5293512	Yes	
row_43	KIF3B	10554	-2.823298692703247	-0.52521074	Yes	
row_44	TMEM107	10749	-3.0799124240875244	-0.5276729	Yes	
row_45	TMEM67	10866	-3.2693748474121094	-0.523256	Yes	
row_46	DYNC2LI1	10910	-3.362607002258301	-0.51274794	Yes	
row_47	DYNC2H1	10940	-3.4167444705963135	-0.5009221	Yes	
row_48	EVC	11016	-3.5304152965545654	-0.4922234	Yes	
row_49	FBF1	11049	-3.5876643657684326	-0.47992712	Yes	
row_50	ARL13B	11184	-3.864067554473877	-0.4744645	Yes	
row_51	IFT172	11194	-3.8786983489990234	-0.4591698	Yes	
row_52	IFT52	11272	-4.051773548126221	-0.44847703	Yes	
row_53	WDR35	11302	-4.12514066696167	-0.43372932	Yes	
row_54	INPP5E	11433	-4.39340353012085	-0.42577067	Yes	
row_55	IFT57	11607	-4.831694602966309	-0.4193657	Yes	
row_56	TTBK2	11722	-5.173011302947998	-0.40694067	Yes	
row_57	BBS5	11727	-5.186927795410156	-0.3858591	Yes	
row_58	TTC30B	11796	-5.369748592376709	-0.3690266	Yes	
row_59	TTC26	11806	-5.399785041809082	-0.34745795	Yes	
row_60	LZTFL1	11812	-5.4207892417907715	-0.32548994	Yes	
row_61	MIB1	11945	-5.866529941558838	-0.31161153	Yes	
row_62	CLUAP1	12084	-6.3773932456970215	-0.296095	Yes	
row_63	BBS2	12098	-6.431556224822998	-0.27058336	Yes	
row_64	RAB23	12169	-6.772002220153809	-0.24812339	Yes	
row_65	TMEM231	12198	-6.922417640686035	-0.2217597	Yes	
row_66	BBS1	12310	-7.606495380401611	-0.19906288	Yes	
row_67	KIFAP3	12333	-7.737605571746826	-0.1688678	Yes	
row_68	TMEM216	12384	-8.072649955749512	-0.13947964	Yes	
row_69	TCTN1	12571	-9.724445343017578	-0.11391005	Yes	
row_70	TCTN2	12644	-10.68799877166748	-0.075454324	Yes	
row_71	TCTN3	12647	-10.769031524658203	-0.031192193	Yes	
row_72	CEP97	12706	-11.656237602233887	0.012351615	Yes	
