NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KIF3A	3355	2.6212871074676514	-0.23975511	No	
row_1	TRIP11	4011	1.935510277748108	-0.2747539	No	
row_2	IFT81	4062	1.8834134340286255	-0.26302966	No	
row_3	TRAF3IP1	4302	1.6852270364761353	-0.26768035	No	
row_4	DYNLL2	4431	1.5723553895950317	-0.2646156	No	
row_5	TNPO1	4741	1.34611976146698	-0.2775348	No	
row_6	TTC21B	5659	0.7456161975860596	-0.34282368	No	
row_7	IFT80	6143	0.42830145359039307	-0.37691742	No	
row_8	IFT20	6241	0.3707740008831024	-0.38140255	No	
row_9	IFT74	7553	-0.33447444438934326	-0.48081076	No	
row_10	IFT122	8878	-1.1630175113677979	-0.57436013	No	
row_11	HSPB11	9583	-1.7435259819030762	-0.6147704	Yes	
row_12	IFT43	9751	-1.9008891582489014	-0.6120205	Yes	
row_13	TTC30A	9932	-2.0800724029541016	-0.60879767	Yes	
row_14	IFT27	10168	-2.3539791107177734	-0.60758984	Yes	
row_15	DYNLRB1	10200	-2.386685848236084	-0.5902105	Yes	
row_16	KIF3B	10554	-2.823298692703247	-0.59430724	Yes	
row_17	DYNC2LI1	10910	-3.362607002258301	-0.59408677	Yes	
row_18	DYNC2H1	10940	-3.4167444705963135	-0.56800807	Yes	
row_19	IFT46	11019	-3.533177137374878	-0.5447828	Yes	
row_20	IFT172	11194	-3.8786983489990234	-0.5261742	Yes	
row_21	IFT52	11272	-4.051773548126221	-0.4985697	Yes	
row_22	WDR35	11302	-4.12514066696167	-0.46661544	Yes	
row_23	DYNLL1	11606	-4.831559658050537	-0.45015824	Yes	
row_24	IFT57	11607	-4.831694602966309	-0.41008335	Yes	
row_25	KIF17	11717	-5.147409915924072	-0.37588564	Yes	
row_26	IFT88	11765	-5.305291652679443	-0.33554596	Yes	
row_27	TTC30B	11796	-5.369748592376709	-0.29334667	Yes	
row_28	IFT22	11805	-5.394979000091553	-0.24922337	Yes	
row_29	TTC26	11806	-5.399785041809082	-0.20443667	Yes	
row_30	KIF3C	11855	-5.575757026672363	-0.16193168	Yes	
row_31	CLUAP1	12084	-6.3773932456970215	-0.12680739	Yes	
row_32	WDR19	12259	-7.281927108764648	-0.079971865	Yes	
row_33	DYNLRB2	12305	-7.5708746910095215	-0.020685202	Yes	
row_34	KIFAP3	12333	-7.737605571746826	0.04138731	Yes	
