NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MUC1	34	19.349061965942383	0.07564402	Yes	
row_1	GALNT7	43	19.013940811157227	0.15195912	Yes	
row_2	GALNT5	48	18.70572280883789	0.22733891	Yes	
row_3	GALNT10	199	13.559042930603027	0.27050984	Yes	
row_4	GALNT1	251	12.773770332336426	0.31822187	Yes	
row_5	ST3GAL3	265	12.532572746276855	0.36792067	Yes	
row_6	MUC4	508	9.866354942321777	0.3889764	Yes	
row_7	MUC5AC	679	8.652055740356445	0.41073212	Yes	
row_8	GALNT6	801	8.047443389892578	0.43386167	Yes	
row_9	GALNT4	838	7.866241455078125	0.46288517	Yes	
row_10	B4GALT5	839	7.864757537841797	0.49470946	Yes	
row_11	GALNT12	850	7.800678253173828	0.5254948	Yes	
row_12	GALNT3	855	7.775668144226074	0.55664676	Yes	
row_13	B3GNT3	871	7.733260154724121	0.58676946	Yes	
row_14	ST6GAL1	990	7.223114013671875	0.60679734	Yes	
row_15	GCNT1	1879	4.757215976715088	0.55681276	No	
row_16	ST3GAL4	1885	4.7441816329956055	0.57562	No	
row_17	ST3GAL1	2112	4.287389755249023	0.5753482	No	
row_18	MUC16	2623	3.5135176181793213	0.5498025	No	
row_19	MUC13	2732	3.384587049484253	0.5550776	No	
row_20	B4GALT6	3389	2.5945017337799072	0.51443	No	
row_21	C1GALT1C1	3734	2.213916540145874	0.496568	No	
row_22	CHST4	4145	1.8088890314102173	0.47192124	No	
row_23	B3GNT2	4688	1.3834710121154785	0.43526146	No	
row_24	ST3GAL2	5425	0.8852591514587402	0.38146016	No	
row_25	MUC20	7518	-0.3134424388408661	0.21962231	No	
row_26	B3GNT7	8027	-0.605872631072998	0.1824669	No	
row_27	GALNT2	8762	-1.0810973644256592	0.12961398	No	
row_28	MUC5B	9183	-1.4058352708816528	0.10255663	No	
row_29	C1GALT1	9324	-1.510353922843933	0.09775286	No	
row_30	GALNT18	9794	-1.9458892345428467	0.069060445	No	
row_31	B3GNT9	10562	-2.8366782665252686	0.0207385	No	
row_32	ST6GALNAC4	10576	-2.85456919670105	0.031275786	No	
row_33	B3GNT5	10774	-3.1141550540924072	0.028517615	No	
row_34	B3GNTL1	10824	-3.1957905292510986	0.037628837	No	
row_35	MUC15	11430	-4.388210296630859	0.008215671	No	
row_36	GALNT11	11824	-5.474236488342285	-2.740248E-4	No	
row_37	ST6GALNAC2	12315	-7.625300407409668	-0.007622325	No	
row_38	GCNT4	12741	-12.442544937133789	0.009589916	No	
