NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOLH1	45	18.945905685424805	0.18893673	Yes	
row_1	MTHFD2	64	17.914690017700195	0.36950028	Yes	
row_2	TCN2	238	12.878771781921387	0.4868504	Yes	
row_3	MTHFD1L	244	12.831400871276855	0.61679333	Yes	
row_4	GLRX	753	8.233736038208008	0.66089255	Yes	
row_5	CHDH	1019	7.12871789932251	0.71267825	Yes	
row_6	AHCYL2	1453	5.72132682800293	0.7370948	Yes	
row_7	MTHFD1	3073	2.957237482070923	0.6411401	No	
row_8	DHFR	3088	2.9287667274475098	0.66979885	No	
row_9	AHCY	4234	1.7400100231170654	0.5983676	No	
row_10	MAT1A	5033	1.132577657699585	0.54777026	No	
row_11	SHMT1	6648	0.137734517455101	0.4235662	No	
row_12	MTFMT	6693	0.11450224369764328	0.4213051	No	
row_13	MTRR	9513	-1.6766566038131714	0.21895793	No	
row_14	MTR	11297	-4.109617233276367	0.12194556	No	
