NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
PROTEIN CITRULLINATION%HUMANCYC%PWY-4921	5		Rejected!	
METHYLGLYOXAL DEGRADATION III%HUMANCYC%PWY-5453	3		Rejected!	
STEARATE BIOSYNTHESIS I (ANIMALS)%HUMANCYC%PWY-5972	13		Rejected!	
TRYPTOPHAN DEGRADATION X (MAMMALIAN, VIA TRYPTAMINE)%HUMANCYC%PWY-6307	5		Rejected!	
CERAMIDE BIOSYNTHESIS%HUMANCYC%PWY3DJ-12	5		Rejected!	
L-SERINE DEGRADATION%HUMANCYC%SERDEG-PWY	2		Rejected!	
SUPERPATHWAY OF INOSITOL PHOSPHATE COMPOUNDS%HUMANCYC%PWY-6371	68	61		
PUTRESCINE DEGRADATION III%HUMANCYC%PWY-0	10		Rejected!	
TETRAHYDROFOLATE SALVAGE FROM 5,10-METHENYLTETRAHYDROFOLATE%HUMANCYC%PWY-6613	4		Rejected!	
ANDROGEN BIOSYNTHESIS%HUMANCYC%PWY66-378	7		Rejected!	
PHENYLALANINE DEGRADATION I (AEROBIC)%HUMANCYC%PHENYLALANINE-DEG1-PWY	4		Rejected!	
TRYPTOPHAN DEGRADATION III (EUKARYOTIC)%HUMANCYC%TRYPTOPHAN-DEGRADATION-1	11		Rejected!	
SULFITE OXIDATION IV%HUMANCYC%PWY-5326	1		Rejected!	
MEVALONATE PATHWAY I%HUMANCYC%PWY-922	12		Rejected!	
XANTHINE AND XANTHOSINE SALVAGE%HUMANCYC%SALVPURINE2-PWY	1		Rejected!	
SERINE BIOSYNTHESIS%HUMANCYC%SERSYN-PWY	3		Rejected!	
<I>MYO< I>-INOSITOL BIOSYNTHESIS%HUMANCYC%PWY-2301	4		Rejected!	
ADENINE AND ADENOSINE SALVAGE I%HUMANCYC%P121-PWY	1		Rejected!	
D-<I>MYO< I>-INOSITOL-5-PHOSPHATE METABOLISM%HUMANCYC%PWY-6367	19	15		
PURINE NUCLEOTIDES DEGRADATION II (AEROBIC)%HUMANCYC%PWY-6353	13		Rejected!	
HISTAMINE BIOSYNTHESIS%HUMANCYC%PWY-6173	1		Rejected!	
ASPARTATE BIOSYNTHESIS%HUMANCYC%ASPARTATESYN-PWY	3		Rejected!	
UDP-D-XYLOSE AND UDP-D-GLUCURONATE BIOSYNTHESIS%HUMANCYC%PWY-4821	2		Rejected!	
GDP-L-FUCOSE BIOSYNTHESIS II (FROM L-FUCOSE)%HUMANCYC%PWY-6	2		Rejected!	
D-<I>MYO< I>-INOSITOL (3,4,5,6)-TETRAKISPHOSPHATE BIOSYNTHESIS%HUMANCYC%PWY-6365	2		Rejected!	
PHOSPHATIDYLGLYCEROL BIOSYNTHESIS II (NON-PLASTIDIC)%HUMANCYC%PWY4FS-8	20	17		
NADH REPAIR%HUMANCYC%PWY-6938	3		Rejected!	
INOSINE-5'-PHOSPHATE BIOSYNTHESIS II%HUMANCYC%PWY-6124	3		Rejected!	
PHENYLETHYLAMINE DEGRADATION I%HUMANCYC%2PHENDEG-PWY	4		Rejected!	
DOLICHOL AND DOLICHYL PHOSPHATE BIOSYNTHESIS%HUMANCYC%PWY-6129	3		Rejected!	
(S)-RETICULINE BIOSYNTHESIS II%HUMANCYC%PWY-6133	1		Rejected!	
FATTY ACID &ALPHA;-OXIDATION II%HUMANCYC%PWY66-387	10		Rejected!	
METHYLGLYOXAL DEGRADATION I%HUMANCYC%PWY-5386	3		Rejected!	
GUANOSINE NUCLEOTIDES DEGRADATION III%HUMANCYC%PWY-6608	4		Rejected!	
MITOCHONDRIAL L-CARNITINE SHUTTLE PATHWAY%HUMANCYC%PWY-6111	3		Rejected!	
PYRIDOXAL 5'-PHOSPHATE SALVAGE PATHWAY%HUMANCYC%PLPSAL-PWY	2		Rejected!	
L-DOPA DEGRADATION%HUMANCYC%PWY-6334	1		Rejected!	
CMP-<I>N< I>-ACETYLNEURAMINATE BIOSYNTHESIS I (EUKARYOTES)%HUMANCYC%PWY-6138	4		Rejected!	
URIDINE-5'-PHOSPHATE BIOSYNTHESIS%HUMANCYC%PWY-5686	2		Rejected!	
ETHANOL DEGRADATION IV%HUMANCYC%PWY66-162	7		Rejected!	
GLUTAMINE DEGRADATION I%HUMANCYC%GLUTAMINDEG-PWY	3		Rejected!	
METHYLMALONYL PATHWAY%HUMANCYC%PROPIONMET-PWY	4		Rejected!	
SELENOCYSTEINE BIOSYNTHESIS II (ARCHAEA AND EUKARYOTES)%HUMANCYC%PWY-6281	6		Rejected!	
GLYCEROL DEGRADATION I%HUMANCYC%PWY-4261	4		Rejected!	
HEME BIOSYNTHESIS FROM UROPORPHYRINOGEN-III I%HUMANCYC%HEME-BIOSYNTHESIS-II	4		Rejected!	
DERMATAN SULFATE BIOSYNTHESIS (LATE STAGES)%HUMANCYC%PWY-6568	4		Rejected!	
ALANINE BIOSYNTHESIS III%HUMANCYC%PWY0-1021	1		Rejected!	
KETOGENESIS%HUMANCYC%REACT_1464.NULL	6		Rejected!	
OXIDIZED GTP AND DGTP DETOXIFICATION%HUMANCYC%PWY-6502	1		Rejected!	
FOLATE POLYGLUTAMYLATION%HUMANCYC%PWY-2161	5		Rejected!	
ZYMOSTEROL BIOSYNTHESIS%HUMANCYC%PWY-6074	6		Rejected!	
<I>N< I>-ACETYLGLUCOSAMINE DEGRADATION II%HUMANCYC%PWY-6517	4		Rejected!	
LANOSTEROL BIOSYNTHESIS%HUMANCYC%PWY-6132	1		Rejected!	
GLYCINE DEGRADATION (CREATINE BIOSYNTHESIS)%HUMANCYC%GLYCGREAT-PWY	2		Rejected!	
PHOSPHATIDYLCHOLINE BIOSYNTHESIS I%HUMANCYC%PWY3O-450	6		Rejected!	
2-AMINO-3-CARBOXYMUCONATE SEMIALDEHYDE DEGRADATION TO GLUTARYL-COA%HUMANCYC%PWY-5652	1		Rejected!	
D-MANNOSE DEGRADATION%HUMANCYC%MANNCAT-PWY	1		Rejected!	
INOSITOL PYROPHOSPHATES BIOSYNTHESIS%HUMANCYC%PWY-6369	7		Rejected!	
GLUTARYL-COA DEGRADATION%HUMANCYC%PWY-5177	5		Rejected!	
UDP-<I>N< I>-ACETYL-D-GALACTOSAMINE BIOSYNTHESIS I%HUMANCYC%PWY-5512	1		Rejected!	
TRNA CHARGING%HUMANCYC%TRNA-CHARGING-PWY	38	19		
DIPHTHAMIDE BIOSYNTHESIS%HUMANCYC%PWY-6482	1		Rejected!	
CALCIUM TRANSPORT I%HUMANCYC%PWY-6166	5		Rejected!	
SUCROSE DEGRADATION V (MAMMALIAN)%HUMANCYC%PWY66-373	6		Rejected!	
4-HYDROXYBENZOATE BIOSYNTHESIS%HUMANCYC%PWY-5754-1	1		Rejected!	
<I>S< I>-METHYL-5'-THIOADENOSINE DEGRADATION II%HUMANCYC%PWY-6756	1		Rejected!	
ASPARAGINE BIOSYNTHESIS I%HUMANCYC%ASPARAGINE-BIOSYNTHESIS	1		Rejected!	
2-OXOBUTANOATE DEGRADATION I%HUMANCYC%PWY-5130	8		Rejected!	
SPERMIDINE BIOSYNTHESIS I%HUMANCYC%BSUBPOLYAMSYN-PWY	2		Rejected!	
DTMP <I>DE NOVO< I> BIOSYNTHESIS%HUMANCYC%PWY66-385	4		Rejected!	
ACETYL-COA BIOSYNTHESIS III (FROM CITRATE)%HUMANCYC%PWY-5172	1		Rejected!	
