NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CILIOPATHIES%WIKIPATHWAYS_20210210%WP4803%HOMO SAPIENS	CILIOPATHIES%WIKIPATHWAYS_20210210%WP4803%HOMO SAPIENS	Details ...	125	-0.5472079	-2.2727332	0.0	0.009974277	0.01	2698	tags=46%, list=21%, signal=57%	
GENES RELATED TO PRIMARY CILIUM DEVELOPMENT (BASED ON CRISPR)%WIKIPATHWAYS_20210210%WP4536%HOMO SAPIENS	GENES RELATED TO PRIMARY CILIUM DEVELOPMENT (BASED ON CRISPR)%WIKIPATHWAYS_20210210%WP4536%HOMO SAPIENS	Details ...	73	-0.596429	-2.2034566	0.0	0.009882972	0.02	3322	tags=62%, list=26%, signal=83%	
INTRACILIARY TRANSPORT%GOBP%GO:0042073	INTRACILIARY TRANSPORT%GOBP%GO:0042073	Details ...	46	-0.6029643	-2.1394792	0.0	0.006588647	0.02	2698	tags=54%, list=21%, signal=69%	
PROTEIN TARGETING TO PEROXISOME%GOBP%GO:0006625	PROTEIN TARGETING TO PEROXISOME%GOBP%GO:0006625	Details ...	29	-0.6518183	-2.124941	0.0	0.007467544	0.03	2627	tags=52%, list=20%, signal=65%	
PROTEIN LOCALIZATION TO PEROXISOME%GOBP%GO:0072662	PROTEIN LOCALIZATION TO PEROXISOME%GOBP%GO:0072662	Details ...	29	-0.6518183	-2.1197636	0.0	0.0059740352	0.03	2627	tags=52%, list=20%, signal=65%	
INTRACILIARY TRANSPORT INVOLVED IN CILIUM ASSEMBLY%GOBP%GO:0035735	INTRACILIARY TRANSPORT INVOLVED IN CILIUM ASSEMBLY%GOBP%GO:0035735	Details ...	38	-0.6345493	-2.1114058	0.0	0.0049783625	0.03	2698	tags=58%, list=21%, signal=73%	
BRAIN MORPHOGENESIS%GOBP%GO:0048854	BRAIN MORPHOGENESIS%GOBP%GO:0048854	Details ...	15	-0.7391104	-2.0384367	0.0	0.0155390715	0.11	2685	tags=60%, list=21%, signal=76%	
INTRAFLAGELLAR TRANSPORT%REACTOME DATABASE ID RELEASE 75%5620924	INTRAFLAGELLAR TRANSPORT%REACTOME DATABASE ID RELEASE 75%5620924	Details ...	35	-0.6292315	-2.0239732	0.0	0.01855069	0.15	3283	tags=69%, list=26%, signal=92%	
PEROXISOMAL TRANSPORT%GOBP%GO:0043574	PEROXISOMAL TRANSPORT%GOBP%GO:0043574	Details ...	29	-0.6518183	-2.021399	0.0	0.016489502	0.15	2627	tags=52%, list=20%, signal=65%	
PEROXISOMAL MEMBRANE TRANSPORT%GOBP%GO:0015919	PEROXISOMAL MEMBRANE TRANSPORT%GOBP%GO:0015919	Details ...	26	-0.65460926	-2.002567	0.0	0.021767773	0.22	2627	tags=54%, list=20%, signal=68%	
NEPHRON DEVELOPMENT%GOBP%GO:0072006	NEPHRON DEVELOPMENT%GOBP%GO:0072006	Details ...	41	-0.57417357	-1.9787964	0.0	0.0315294	0.3	981	tags=34%, list=8%, signal=37%	
ESTABLISHMENT OF PROTEIN LOCALIZATION TO PEROXISOME%GOBP%GO:0072663	ESTABLISHMENT OF PROTEIN LOCALIZATION TO PEROXISOME%GOBP%GO:0072663	Details ...	29	-0.6518183	-1.9382846	0.0	0.050497454	0.46	2627	tags=52%, list=20%, signal=65%	
BBSOME-MEDIATED CARGO-TARGETING TO CILIUM%REACTOME DATABASE ID RELEASE 75%5620922	BBSOME-MEDIATED CARGO-TARGETING TO CILIUM%REACTOME DATABASE ID RELEASE 75%5620922	Details ...	20	-0.730588	-1.9347036	0.0	0.04815776	0.47	3000	tags=75%, list=23%, signal=98%	
REGULATION OF BMP SIGNALING PATHWAY%GOBP%GO:0030510	REGULATION OF BMP SIGNALING PATHWAY%GOBP%GO:0030510	Details ...	39	-0.5488654	-1.9321849	0.0	0.046854436	0.5	1403	tags=31%, list=11%, signal=34%	
AXONEME ASSEMBLY%GOBP%GO:0035082	AXONEME ASSEMBLY%GOBP%GO:0035082	Details ...	43	-0.5730602	-1.9303973	0.0	0.045086626	0.52	1873	tags=40%, list=15%, signal=46%	
SMOOTHENED SIGNALING PATHWAY%GOBP%GO:0007224	SMOOTHENED SIGNALING PATHWAY%GOBP%GO:0007224	Details ...	23	-0.61787	-1.9299598	0.0	0.042911958	0.53	1144	tags=43%, list=9%, signal=48%	
NEPHRON EPITHELIUM DEVELOPMENT%GOBP%GO:0072009	NEPHRON EPITHELIUM DEVELOPMENT%GOBP%GO:0072009	Details ...	28	-0.6383777	-1.922501	0.0	0.043874327	0.55	981	tags=36%, list=8%, signal=39%	
CELL DIFFERENTIATION INVOLVED IN KIDNEY DEVELOPMENT%GOBP%GO:0061005	CELL DIFFERENTIATION INVOLVED IN KIDNEY DEVELOPMENT%GOBP%GO:0061005	Details ...	19	-0.6447589	-1.9153488	0.0	0.04474955	0.59	981	tags=37%, list=8%, signal=40%	
CARDIAC CONDUCTION SYSTEM DEVELOPMENT%GOBP%GO:0003161	CARDIAC CONDUCTION SYSTEM DEVELOPMENT%GOBP%GO:0003161	Details ...	16	-0.6949721	-1.8912659	0.0	0.050758928	0.64	652	tags=31%, list=5%, signal=33%	
