NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
NUCLEOTIDE-SUGAR BIOSYNTHETIC PROCESS%GOBP%GO:0009226	NUCLEOTIDE-SUGAR BIOSYNTHETIC PROCESS%GOBP%GO:0009226	Details ...	18	0.81641084	2.1636279	0.0	0.0	0.0	186	tags=28%, list=1%, signal=28%	
REGULATION OF LYMPHOCYTE MIGRATION%GOBP%GO:2000401	REGULATION OF LYMPHOCYTE MIGRATION%GOBP%GO:2000401	Details ...	29	0.70035547	1.9845728	0.0	0.04007697	0.08	1501	tags=38%, list=12%, signal=43%	
HALLMARK_ANDROGEN_RESPONSE%MSIGDB_C2%HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE%MSIGDB_C2%HALLMARK_ANDROGEN_RESPONSE	Details ...	65	0.57560545	1.9444615	0.0	0.06350576	0.19	2252	tags=45%, list=18%, signal=54%	
TYROBP CAUSAL NETWORK%WIKIPATHWAYS_20210210%WP3945%HOMO SAPIENS	TYROBP CAUSAL NETWORK%WIKIPATHWAYS_20210210%WP3945%HOMO SAPIENS	Details ...	43	0.612149	1.9358535	0.0	0.05259836	0.21	2684	tags=47%, list=21%, signal=59%	
REGULATION OF ENDOPLASMIC RETICULUM STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902235	REGULATION OF ENDOPLASMIC RETICULUM STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902235	Details ...	18	0.722421	1.9288974	0.0	0.044117473	0.22	415	tags=33%, list=3%, signal=34%	
NUCLEOTIDE-SUGAR METABOLIC PROCESS%GOBP%GO:0009225	NUCLEOTIDE-SUGAR METABOLIC PROCESS%GOBP%GO:0009225	Details ...	23	0.72211266	1.9248962	0.0	0.040100385	0.23	186	tags=22%, list=1%, signal=22%	
REGULATION OF RUFFLE ASSEMBLY%GOBP%GO:1900027	REGULATION OF RUFFLE ASSEMBLY%GOBP%GO:1900027	Details ...	19	0.69495976	1.9243068	0.0	0.03437176	0.23	1050	tags=37%, list=8%, signal=40%	
MRNA SPLICE SITE SELECTION%GOBP%GO:0006376	MRNA SPLICE SITE SELECTION%GOBP%GO:0006376	Details ...	25	0.6872883	1.8943433	0.0	0.05768474	0.38	1767	tags=40%, list=14%, signal=46%	
POSITIVE REGULATION OF COAGULATION%GOBP%GO:0050820	POSITIVE REGULATION OF COAGULATION%GOBP%GO:0050820	Details ...	16	0.71803826	1.8666822	0.0	0.069042824	0.47	1057	tags=44%, list=8%, signal=48%	
ONE CARBON METABOLISM%WIKIPATHWAYS_20210210%WP241%HOMO SAPIENS	ONE CARBON METABOLISM%WIKIPATHWAYS_20210210%WP241%HOMO SAPIENS	Details ...	15	0.7370948	1.859861	0.0	0.06917333	0.51	1453	tags=47%, list=11%, signal=53%	
O-LINKED GLYCOSYLATION OF MUCINS%REACTOME%R-HSA-913709.3	O-LINKED GLYCOSYLATION OF MUCINS%REACTOME%R-HSA-913709.3	Details ...	39	0.60679734	1.8450232	0.0	0.08383594	0.61	990	tags=38%, list=8%, signal=42%	
NEGATIVE REGULATION OF SPROUTING ANGIOGENESIS%GOBP%GO:1903671	NEGATIVE REGULATION OF SPROUTING ANGIOGENESIS%GOBP%GO:1903671	Details ...	20	0.65673244	1.843073	0.0	0.08102906	0.63	2129	tags=55%, list=17%, signal=66%	
REGULATION OF PRODUCTION OF MOLECULAR MEDIATOR OF IMMUNE RESPONSE%GOBP%GO:0002700	REGULATION OF PRODUCTION OF MOLECULAR MEDIATOR OF IMMUNE RESPONSE%GOBP%GO:0002700	Details ...	70	0.5484554	1.8429831	0.0	0.07558354	0.63	2768	tags=37%, list=22%, signal=47%	
EXPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0140115	EXPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0140115	Details ...	17	0.67391753	1.8407521	0.0	0.075906575	0.65	842	tags=35%, list=7%, signal=38%	
NADP METABOLIC PROCESS%GOBP%GO:0006739	NADP METABOLIC PROCESS%GOBP%GO:0006739	Details ...	22	0.6594997	1.8399789	0.0	0.07284024	0.67	2442	tags=64%, list=19%, signal=78%	
KERATINIZATION%GOBP%GO:0031424	KERATINIZATION%GOBP%GO:0031424	Details ...	35	0.6109164	1.8380781	0.0	0.07081584	0.68	1855	tags=31%, list=14%, signal=37%	
LEUKOTRIENE METABOLIC PROCESS%GOBP%GO:0006691	LEUKOTRIENE METABOLIC PROCESS%GOBP%GO:0006691	Details ...	16	0.7116062	1.8362162	0.0	0.070187815	0.7	1280	tags=38%, list=10%, signal=42%	
NEGATIVE REGULATION OF PEPTIDASE ACTIVITY%GOBP%GO:0010466	NEGATIVE REGULATION OF PEPTIDASE ACTIVITY%GOBP%GO:0010466	Details ...	87	0.53550917	1.8351601	0.0	0.067977555	0.72	2349	tags=37%, list=18%, signal=45%	
REGULATION OF T CELL MIGRATION%GOBP%GO:2000404	REGULATION OF T CELL MIGRATION%GOBP%GO:2000404	Details ...	21	0.7184084	1.8345938	0.0	0.06492642	0.72	1501	tags=38%, list=12%, signal=43%	
MITOTIC CYTOKINESIS%GOBP%GO:0000281	MITOTIC CYTOKINESIS%GOBP%GO:0000281	Details ...	54	0.57200235	1.8335801	0.0	0.06317837	0.74	1835	tags=35%, list=14%, signal=41%	
NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN (NOD) PATHWAY%WIKIPATHWAYS_20210210%WP1433%HOMO SAPIENS	NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN (NOD) PATHWAY%WIKIPATHWAYS_20210210%WP1433%HOMO SAPIENS		23	0.67292845	1.8304738	0.0	0.062091786	0.76	2804	tags=48%, list=22%, signal=61%	
REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:1901016	REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORTER ACTIVITY%GOBP%GO:1901016		25	0.6505795	1.8299042	0.0	0.0601765	0.76	2142	tags=52%, list=17%, signal=62%	
CELLULAR RESPONSE TO HYDROGEN PEROXIDE%GOBP%GO:0070301	CELLULAR RESPONSE TO HYDROGEN PEROXIDE%GOBP%GO:0070301		32	0.6294256	1.8242306	0.0	0.063253686	0.77	3001	tags=44%, list=23%, signal=57%	
NEGATIVE REGULATION OF ENDOPEPTIDASE ACTIVITY%GOBP%GO:0010951	NEGATIVE REGULATION OF ENDOPEPTIDASE ACTIVITY%GOBP%GO:0010951		80	0.53583837	1.8183198	0.0	0.06856863	0.84	2349	tags=38%, list=18%, signal=46%	
EPIBOLY INVOLVED IN WOUND HEALING%GOBP%GO:0090505	EPIBOLY INVOLVED IN WOUND HEALING%GOBP%GO:0090505		16	0.719378	1.8172985	0.0	0.066234015	0.84	1445	tags=44%, list=11%, signal=49%	
POSITIVE REGULATION OF HEMOSTASIS%GOBP%GO:1900048	POSITIVE REGULATION OF HEMOSTASIS%GOBP%GO:1900048		16	0.71803826	1.8127009	0.016393442	0.066393115	0.84	1057	tags=44%, list=8%, signal=48%	
REGULATION OF ANOIKIS%GOBP%GO:2000209	REGULATION OF ANOIKIS%GOBP%GO:2000209		20	0.6818392	1.8068606	0.0	0.07026803	0.87	1510	tags=45%, list=12%, signal=51%	
POSITIVE REGULATION OF INTERLEUKIN-1 BETA PRODUCTION%GOBP%GO:0032731	POSITIVE REGULATION OF INTERLEUKIN-1 BETA PRODUCTION%GOBP%GO:0032731		31	0.6162871	1.8063804	0.0	0.06811784	0.87	2759	tags=52%, list=21%, signal=66%	
SUPEROXIDE METABOLIC PROCESS%GOBP%GO:0006801	SUPEROXIDE METABOLIC PROCESS%GOBP%GO:0006801		18	0.72282684	1.8029945	0.015873017	0.06921912	0.87	595	tags=39%, list=5%, signal=41%	
