NAME	TITLE	SCORE	
FAM110C		28.681408	
TLE1		27.802265	
CORO1C		26.658928	
LPCAT4		26.013016	
FUT3		25.502357	
PLA2G4A		24.5613	
S100A14		24.362585	
GNPNAT1		24.34839	
CEACAM5		24.26613	
SERPINB8		24.03063	
CYP2C18		23.892317	
KCNK6		23.731073	
CD44		22.704666	
SH3RF2		22.573828	
LRRC31		22.403809	
DQX1		22.375711	
GPR87		22.372747	
UPK1B		22.284561	
FUT6		21.891806	
S100A16		21.48222	
ENTPD4		21.354832	
SLC36A1		21.248535	
EIF2AK3		20.921562	
SPATS2		20.691704	
FZD5		20.677572	
TSPAN14		20.45367	
TTL		20.21763	
KCNE3		20.132288	
CARD6		19.855364	
CYP2C19		19.792307	
FERMT1		19.610441	
TINAGL1		19.534006	
MLKL		19.505854	
VSIG2		19.35671	
MUC1		19.349062	
SERPINB13		19.321665	
IRAK3		19.32052	
DGKA		19.243109	
SLC16A1		19.21534	
F5		19.090353	
HN1		19.057629	
ANXA3		19.048069	
HCAR2		19.04008	
GALNT7		19.01394	
ABRACL		19.009306	
FOLH1		18.945906	
TMEM64		18.86777	
SGK1		18.786304	
GALNT5		18.705723	
PGM3		18.674608	
FAM83D		18.627056	
PMM2		18.603863	
PHLDB2		18.552137	
ANO10		18.549639	
GMDS		18.493483	
LINC00675		18.473938	
SMAP1		18.36895	
MREG		18.21392	
STX3		18.159403	
CYP2R1		18.09823	
ATP6V1C2		18.060776	
KLF9		18.05326	
IL18R1		17.937977	
SEC24D		17.91715	
MTHFD2		17.91469	
MAN2A1		17.894152	
NIPAL2		17.81273	
GSDMC		17.802738	
SLC7A11		17.784805	
CREB3L1		17.747248	
FKBP14		17.722807	
GPSM2		17.596178	
ARNTL		17.576435	
SAMD4A		17.532158	
NOS2		17.524946	
GNL3		17.498035	
TMPRSS4		17.429867	
CSTA		17.290056	
MDFI		17.280983	
DCLRE1C		17.19322	
ARNTL2		17.188314	
CTTNBP2		17.17394	
MORC4		17.068169	
SHROOM1		17.013227	
LINC01133		16.994757	
SYTL4		16.954742	
ATP10B		16.908484	
TPBG		16.848383	
NTN4		16.756758	
CKAP2		16.747784	
RAPGEFL1		16.702774	
HK2		16.64431	
RTKN2		16.602135	
INPP5F		16.545427	
MIA3		16.464476	
FKBP5		16.434885	
F3		16.425789	
TUBA1C		16.419445	
TPM4		16.334003	
HM13		16.194729	
CDK5RAP2		16.184767	
UCHL3		16.14664	
TMEM181		16.132076	
SSFA2		16.124165	
ARHGEF3		16.072668	
CASP6		16.039476	
LRRC8A		16.038536	
RAB3D		16.031633	
L3MBTL3		15.99342	
RNF39		15.978441	
INPP4B		15.953989	
TRIM7		15.942783	
CEACAM6		15.916978	
USP28		15.863333	
PLEKHG1		15.863129	
PMAIP1		15.81747	
SLC9B2		15.755387	
CCDC64		15.74564	
SMTN		15.682224	
CCDC109B		15.681587	
CYTH1		15.660493	
ECT2		15.648894	
P3H1		15.613882	
CEMIP		15.605383	
MAPRE2		15.587063	
TBC1D8B		15.556447	
ABO		15.537921	
MAGT1		15.520109	
NTRK2		15.516808	
REXO2		15.50849	
SMG9		15.500564	
CDH26		15.5001	
CD200R1		15.482837	
PYCR1		15.429882	
MFSD2A		15.4179945	
LINC00342		15.37481	
SCNN1A		15.370522	
TANC2		15.35804	
ENTPD3		15.329365	
TP53I3		15.32756	
PCDHGC3		15.257498	
DHX35		15.243256	
PRRG1		15.228016	
POSTN		15.1747875	
FGFBP1		15.083058	
LRRC8D		15.070175	
FBN2		15.006194	
TMEM117		14.993276	
PARM1		14.976909	
ACADVL		14.960926	
SERPINF1		14.9383335	
ADAM9		14.9079685	
USP48		14.874296	
ATAD2		14.827895	
CDC7		14.822399	
GPR153		14.82044	
AKAP12		14.776505	
ZNF552		14.740568	
GPR34		14.704056	
BMP1		14.671045	
DNAJC12		14.664887	
SHMT2		14.567208	
CCSER1		14.551947	
PROM2		14.453156	
KLF4		14.383127	
LIMA1		14.373003	
FAM114A1		14.357213	
STK39		14.356667	
TIMP1		14.34711	
GALE		14.342261	
LOXL4		14.30093	
TFCP2L1		14.292774	
CENPN		14.280978	
CKAP4		14.229616	
CIT		14.21045	
PVT1		14.0776205	
P2RY1		14.03119	
GPT2		14.022925	
ARMCX3		13.967892	
SLC26A2		13.960067	
PDE3B		13.958754	
UROS		13.922589	
ASPHD2		13.919114	
IRAK4		13.89755	
CLDN10		13.896666	
LOC101928100		13.828314	
UGP2		13.798339	
PRCP		13.776711	
GSN		13.765157	
FGFR1		13.740867	
THBS1		13.739266	
MAFB		13.7379265	
S100A10		13.730645	
ANKRD36C		13.727034	
MTERF1		13.698015	
EAF2		13.657055	
ACPP		13.647728	
RPP25		13.574692	
RCC1		13.570043	
GALNT10		13.559043	
PCCA		13.524166	
SYTL2		13.519238	
SFN		13.474725	
FA2H		13.446991	
SNHG3		13.437441	
PSTPIP2		13.42926	
SERPINB2		13.409016	
PLB1		13.406039	
SERPINB4		13.396349	
TSKU		13.392395	
DISP1		13.379745	
MEGF9		13.339052	
DNAJC10		13.328065	
PRSS16		13.312831	
HOMER2		13.261977	
FAXC		13.244461	
CYTIP		13.226746	
INPP1		13.22502	
ERN2		13.206145	
JARID2		13.198416	
STX10		13.188642	
SIGLEC10		13.184747	
CA12		13.133373	
FAM171A1		13.113305	
CEP85L		13.111215	
RABGGTB		13.104304	
HIST1H2BK		13.0905075	
EDEM3		13.042442	
CATSPERB		13.039233	
YKT6		13.031139	
FBXL7		13.028413	
ABCC1		13.014107	
SETD7		13.002436	
UNC13B		12.988397	
RPIA		12.978145	
ICA1		12.963516	
PPTC7		12.920603	
WDR55		12.897042	
TCN2		12.878772	
SLC39A8		12.868808	
AP3B1		12.863682	
GMPPA		12.852249	
CENPE		12.846712	
FHOD1		12.836148	
MTHFD1L		12.831401	
BOK		12.813161	
SRPX2		12.800783	
ARL4D		12.796417	
HSF4		12.795989	
KIF16B		12.79374	
PPP1R13L		12.780464	
GALNT1		12.77377	
MCTP2		12.772018	
ARPC5		12.768541	
PLEKHH2		12.764126	
ATL3		12.702489	
DNM1L		12.675004	
SPECC1		12.663737	
KRT23		12.6440935	
NLN		12.626755	
FAM135A		12.609899	
CCBL1		12.587536	
DSC2		12.558655	
PDIA5		12.54978	
ARMCX6		12.546398	
ST3GAL3		12.532573	
CXCL17		12.528734	
SERINC2		12.519028	
GUCY1B3		12.517767	
COG3		12.515216	
NOL3		12.487239	
IFI16		12.477351	
PTK6		12.4633	
ELL3		12.455788	
SLC31A1		12.439105	
SLC6A14		12.435553	
DOK1		12.425539	
SEC14L2		12.394384	
CFI		12.373402	
CPT1A		12.354953	
TNC		12.345652	
USP15		12.340022	
