NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGK1	47	18.786304473876953	0.047434762	Yes	
row_1	PGM3	49	18.67460823059082	0.09815941	Yes	
row_2	FKBP5	95	16.434885025024414	0.13935357	Yes	
row_3	INPP4B	110	15.953989028930664	0.18166137	Yes	
row_4	AKAP12	156	14.776505470275879	0.21834405	Yes	
row_5	STK39	167	14.356666564941406	0.25661895	Yes	
row_6	CENPN	172	14.280978202819824	0.29515672	Yes	
row_7	SLC26A2	179	13.960066795349121	0.3326652	Yes	
row_8	HOMER2	214	13.261977195739746	0.36608708	Yes	
row_9	TPD52	337	11.52501106262207	0.3879087	Yes	
row_10	CAMKK2	350	11.41175651550293	0.418016	Yes	
row_11	DNAJB9	591	9.12270736694336	0.42408356	Yes	
row_12	ABHD2	652	8.776381492614746	0.44327152	Yes	
row_13	ELOVL5	692	8.577152252197266	0.46355808	Yes	
row_14	SPDEF	700	8.537850379943848	0.48623776	Yes	
row_15	SRP19	1007	7.1641340255737305	0.48182094	Yes	
row_16	KRT19	1023	7.121092796325684	0.50002146	Yes	
row_17	PPAP2A	1143	6.674645900726318	0.5088824	Yes	
row_18	UBE2J1	1321	6.129545211791992	0.51172924	Yes	
row_19	HPGD	1331	6.081361770629883	0.52756995	Yes	
row_20	SPCS3	1377	5.937900066375732	0.5402079	Yes	
row_21	NGLY1	1522	5.532161235809326	0.5440077	Yes	
row_22	ACSL3	1600	5.336845874786377	0.55251056	Yes	
row_23	MYL12A	1758	5.0182271003723145	0.5538966	Yes	
row_24	CDK6	1772	4.994936466217041	0.5664693	Yes	
row_25	NKX3-1	2009	4.510341167449951	0.56030184	Yes	
row_26	B2M	2064	4.382293701171875	0.5680047	Yes	
row_27	ARID5B	2249	4.069590091705322	0.5647007	Yes	
row_28	MERTK	2252	4.06591272354126	0.57560545	Yes	
row_29	PTPN21	2703	3.4164586067199707	0.5497434	No	
row_30	MAF	3353	2.622547149658203	0.50617474	No	
row_31	PTK2B	3779	2.1732096672058105	0.47888365	No	
row_32	HMGCS1	4133	1.8154141902923584	0.45624423	No	
row_33	CCND3	4532	1.4980549812316895	0.4292258	No	
row_34	SMS	4882	1.2415013313293457	0.4053376	No	
row_35	SCD	5242	0.9988707304000854	0.38000807	No	
row_36	GNAI3	5258	0.9873995780944824	0.38152233	No	
row_37	DBI	5595	0.7827180624008179	0.35740164	No	
row_38	ZMIZ1	6074	0.4727931320667267	0.3213441	No	
row_39	CDC14B	6117	0.44432908296585083	0.31927162	No	
row_40	SORD	6316	0.321522057056427	0.30467755	No	
row_41	UBE2I	6383	0.28452268242836	0.3002953	No	
row_42	PIAS1	6961	-0.024644065648317337	0.25528422	No	
row_43	TMPRSS2	7892	-0.5314538478851318	0.18407376	No	
row_44	RAB4A	8121	-0.6692156195640564	0.1680818	No	
row_45	INSIG1	8161	-0.6987810134887695	0.1669359	No	
row_46	PA2G4	8330	-0.8127986788749695	0.15602206	No	
row_47	RPS6KA3	8455	-0.8676132559776306	0.14869483	No	
row_48	FADS1	8479	-0.884953498840332	0.1493054	No	
row_49	IDI1	9136	-1.3740506172180176	0.10179339	No	
row_50	ITGAV	9291	-1.4859505891799927	0.09380455	No	
row_51	ADRM1	9479	-1.6563624143600464	0.083701186	No	
row_52	B4GALT1	10459	-2.69760799407959	0.014555436	No	
row_53	HMGCR	10640	-2.9390017986297607	0.008488255	No	
row_54	MAK	10710	-3.030184268951416	0.011341004	No	
row_55	DHCR24	10960	-3.45407772064209	0.0012844199	No	
row_56	GPD1L	11036	-3.5607593059539795	0.0051118047	No	
row_57	ACTN1	11115	-3.7163851261138916	0.009128182	No	
row_58	LMAN1	11138	-3.7718029022216797	0.01767032	No	
row_59	ANKH	11715	-5.145020008087158	-0.0133330645	No	
row_60	XRCC5	11906	-5.751095771789551	-0.01253142	No	
row_61	APPBP2	11981	-5.989026069641113	-0.0020200051	No	
row_62	CCND1	12073	-6.3490519523620605	0.008142707	No	
row_63	STEAP4	12536	-9.332533836364746	-0.0025626319	No	
row_64	VAPA	12614	-10.332773208618164	0.019531222	No	
